serial_no,first_name,last_name,phone_no,email,dob,aadhar_no,gender,marital_status,religion,category,relationship,relation_firstname,relation_lastname,current_location,current_street,current_city,current_state,current_district,current_taluk,current_village,current_pincode,permanent_location,permanent_street,permanent_city,permanent_state,permanent_district,permanent_taluk,permanent_village,permanent_pincode,education,subject,yearofpassing,physically_challenged,skill,apprentiseship,perviously_employed,willing_migrate,expected_salary_outside,expected_salary_within,preferred_training_period,status
CANDxx15,ನಾಗರಾಜ,ಕಬ್ಬೇರ ,8497024003,test@gmail.com,01/01/1987,211911339864,male,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,sandur,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2018,Created
CANDxx16,ಇರ್ಪಾನ್,ಮಲಗಿ,7019927899,test@gmail.com,05/01/1998,211911339865,Male,married,muslim,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2019,Created
CANDxx17,ಮಾಲಮ್ಮ,ಮಲಗಿ,8497024003,test@gmail.com,01/01/1988,211911339866,Female,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2020,Created
CANDxx18,ರಾಜಣ್ಣ,ಎನ್ ಜೆ,8497024004,test@gmail.com,01/01/1996,211911339867,Male,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2021,Created
CANDxx19,ರುದ್ರಮ್ಮ,ಮಲಗಿ,8497024005,test@gmail.com,01/01/1983,211911339868,Female,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2022,Created
CANDxx20,ಶೇ ಕೋಮಲಮ್ಮ,ಮಲಗಿ,8497024006,test@gmail.com,01/01/1988,211911339869,Female,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2023,Created
CANDxx21,ತಾಯಮ್ಮ,ಮಲಗಿ,8497024007,test@gmail.com,01/01/1978,211911339870,Female,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2024,Created
CANDxx22,ಹುಲಿಗೇಮ್ಮ,ಮಲಗಿ,8497024008,test@gmail.com,01/01/1985,211911339871,Female,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2025,Created
CANDxx23,ಸೋಮಶೇಖರ,ಮಲಗಿ,8497024009,test@gmail.com,01/01/1963,211911339872,male ,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2026,Created
CANDxx24,ಕುಮಾರಸ್ವಾಮಿ,ಮಲಗಿ,8497024010,test@gmail.com,01/01/1977,211911339873,male ,married,Hindu,general,Father,nagappa  ,ಕಬ್ಬೇರ ,BELLARY,ವಿ ನಾಗಲಾಪುರ,Bangalore,Karnataka,Bellary,SANDUR,ವಿ ನಾಗಲಾಪುರ,583119,bellary,permanent_street,sandur ,Karnataka,bellary,cox town,permanent_village,583119,HSC,HSC,2006,no,handloom,no,yes,yes,200000,300000,01/06/2018 to 30/05/2027,Created
